RMS,Arabic_Description,English_Description,type,units,unit_type,FreqType,ImageUrl
100010863,Relpax 40 mg Tablet 6pcs,Relpax 40 mg Tablet 6pcs,tablet,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100016501,Imigran 50 mg Tablet 6pcs,Imigran 50 mg Tablet 6pcs,tablet,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100016510,Imigran 100 mg Tablet 6pcs,Imigran 100 mg Tablet 6pcs,tablet,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101579630,Depojoy 30 mg 6 Tablets,Depojoy 30 mg 6 Tablets,tablet,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101579648,Depojoy 60 mg 6 Tablets,Depojoy 60 mg 6 Tablets,tablet,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101801641,Sumarex 50 Mg Tablet 6 Pcs,Sumarex 50 Mg Tablet 6 Pcs,tablet,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101801667,Sumarex 100 Mg Tablet 6 Pcs,Sumarex 100 Mg Tablet 6 Pcs,tablet,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101641641,Flucazol 50 mg 7 Capsules,Flucazol 50 mg 7 Capsules,antibiotic,7,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101075538,Moxiflox 400 mg 7 Tablets,Moxiflox 400 mg 7 Tablets,antibiotic,7,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100606309,Maxim 400 mg Tablet 7pcs,Maxim 400 mg Tablet 7pcs,antibiotic,7,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008296,Klacid-XL 500 mg Tablet 7pcs,Klacid-XL 500 mg Tablet 7pcs,antibiotic,7,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007306,Factive 320 mg Tablet 7pcs,Factive 320 mg Tablet 7pcs,antibiotic,7,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100006910,Lamifen 250 mg Tablet 7pcs,Lamifen 250 mg Tablet 7pcs,antibiotic,7,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100017758,Duratears Eye Ointment 3.5 gm,Duratears Eye Ointment 3.5 gm,drops,7,box,day,Https://nahdionline.com/media/catalog/product/1/0/100017758_mainimage_1.jpg
100017918,Arcoxia 120 mg Tablet 7pcs,Arcoxia 120 mg Tablet 7pcs,tablet,7,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101225090,Fycompa 2 mg 7 Tablets,Fycompa 2 mg 7 Tablets,tablet,7,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101579621,Etoxa 120 mg 7 Tablet,Etoxa 120 mg 7 Tablet,tablet,7,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100631791,Cefix 200 mg Capsule 8pcs,Cefix 200 mg Capsule 8pcs,antibiotic,8,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100021837,Rifinah 300 mg/150 mg Tablet 8pcs,Rifinah 300 mg/150 mg Tablet 8pcs,antibiotic,8,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008616,Suprax 200 mg Capsule 8pcs,Suprax 200 mg Capsule 8pcs,antibiotic,8,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100033096,Dostinex 0.5 mg Tablet 8pcs,Dostinex 0.5 mg Tablet 8pcs,tablet,8,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101333171,Nostifix 0.5 mg tablet 8pcs,Nostifix 0.5 mg tablet 8pcs,tablet,8,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101382917,Sefarix 300 mg 10 Capsules,Sefarix 300 mg 10 Capsules,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100634203,Cipromax 500 mg Tablet 10pcs,Cipromax 500 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100634182,Oflacin 200 mg Tablet 10pcs,Oflacin 200 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100631379,Ciprogen 500 mg Tablet 10pcs,Ciprogen 500 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100020640,Resochin Tablet 10pcs,Resochin Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100018689,Valtrex 500 mg Tablet 10pcs,Valtrex 500 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100018339,Oselta 75 mg Capsule 10pcs,Oselta 75 mg Capsule 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100009854,Bactrim-Forte 800/160 mg Tablet 10pcs,Bactrim-Forte 800/160 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100009221,Ceclor-Mr 750 mg Tablet 10pcs,Ceclor-Mr 750 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100009070,Cipromax 750 mg Tablet 10pcs,Cipromax 750 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100009061,Tarivid 200 mg Tablet 10pcs,Tarivid 200 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100009053,Quinox 500 mg Tablet 10pcs,Quinox 500 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008755,Ciproxen 750 mg Tablet 10pcs,Ciproxen 750 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008675,Tabocine 100 mg Capsule 10pcs,Tabocine 100 mg Capsule 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008392,Apo-Doxy 100 mg Capsule 10pcs,Apo-Doxy 100 mg Capsule 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007613,Ciflox 500 mg Tablet 10pcs,Ciflox 500 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007277,Cipropharm 500 mg Tablet 10pcs,Cipropharm 500 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007269,Ciproxen 250 mg Tablet 10pcs,Ciproxen 250 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007162,Omnicef 300 mg Capsule 10pcs,Omnicef 300 mg Capsule 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100006581,Zinnat 500 mg Tablet 10pcs,Zinnat 500 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100006143,Ciproxen 500 mg Tablet 10pcs,Ciproxen 500 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100006119,Ciprobay 500 mg Tablet 10pcs,Ciprobay 500 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100006055,Zamur 500 mg Tablet 10pcs,Zamur 500 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100005829,Ciprocin 500 mg Tablet 10pcs,Ciprocin 500 mg Tablet 10pcs,antibiotic,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100009985,Coxicam 15 mg Tablet 10pcs,Coxicam 15 mg Tablet 10pcs,tablet,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100012885,Mobic 7.5 mg Tablet 10pcs,Mobic 7.5 mg Tablet 10pcs,tablet,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100016860,Coxicam 7.5 mg Tablet 10pcs,Coxicam 7.5 mg Tablet 10pcs,tablet,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100027825,Clomid 50 mg Tablet 10pcs,Clomid 50 mg Tablet 10pcs,tablet,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100633649,Aldactone 100 mg Tablet 10pcs,Aldactone 100 mg Tablet 10pcs,tablet,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100887278,Xarelto Tablets 10mg 10 Pcs,Xarelto Tablets 10mg 10 Pcs,tablet,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101225073,Zoron 4 mg 10 Tablets,Zoron 4 mg 10 Tablets,tablet,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101225081,Zoron 8 mg 10 Tablets,Zoron 8 mg 10 Tablets,tablet,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101225428,Fertab 50 mg Tablet 10 pcs,Fertab 50 mg Tablet 10 pcs,tablet,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101594565,Naprotex 500 mg 10 Tablets,Naprotex 500 mg 10 Tablets,tablet,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101689695,Setral 50 mg 10 Tablet,Setral 50 mg 10 Tablet,tablet,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101689708,Setral 100 mg 10 Tablet,Setral 100 mg 10 Tablet,tablet,10,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100009192,Coamox-Mepha/Acino 1 gm Tablet 12pcs,Coamox-Mepha/Acino 1 gm Tablet 12pcs,antibiotic,12,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100011591,Dogmatil 200 mg Tablet 12pcs,Dogmatil 200 mg Tablet 12pcs,tablet,12,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100651046,Vexal XR 37.5mg Capsules 14,Vexal XR 37.5mg Capsules 14,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100651054,Vexal XR 75mg Capsules 14,Vexal XR 75mg Capsules 14,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100651062,Vexal XR 150mg Capsules 14,Vexal XR 150mg Capsules 14,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100631512,Clarimac 500 mg Tablet 14pcs,Clarimac 500 mg Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100611255,Hymox 875 mg Tablet 14pcs,Hymox 875 mg Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100017791,Klacid-XL 500 mg Tablet 14pcs,Klacid-XL 500 mg Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100014101,Flagyl 500 mg Tablet 14pcs,Flagyl 500 mg Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100009512,Cefodox 200 mg Tablet 14pcs,Cefodox 200 mg Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100009168,Curam 1 gm Tablet 14pcs,Curam 1 gm Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008309,Klacid 500 mg Tablet 14pcs,Klacid 500 mg Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008288,Klacid 250 mg Tablet 14pcs,Klacid 250 mg Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008077,Zinoximor 250 mg Tablet 14pcs,Zinoximor 250 mg Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008051,Zinoximor 500 mg Tablet 14pcs,Zinoximor 500 mg Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007752,Klavox 1 gm Tablet 14pcs,Klavox 1 gm Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007710,Megamox 1 gm Tablet 14pcs,Megamox 1 gm Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007699,Augmentin 1 gm Tablet 14pcs,Augmentin 1 gm Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007672,Amoclan 1 gm Tablet 14pcs,Amoclan 1 gm Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007197,Lamifen 250 mg Tablet 14pcs,Lamifen 250 mg Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100006901,Lamisil 250 mg Tablet 14pcs,Lamisil 250 mg Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100006629,Zinnat 250 mg 14 Tablet,Zinnat 250 mg 14 Tablet,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100005685,Gloclav 1 gm Tablet 14pcs,Gloclav 1 gm Tablet 14pcs,antibiotic,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100012797,Efexor-XR 75 mg Capsule 14pcs,Efexor-XR 75 mg Capsule 14pcs,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100012800,Efexor-XR 150 mg Capsule 14pcs,Efexor-XR 150 mg Capsule 14pcs,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100014776,Peptazol 30 mg Capsule 14pcs,Peptazol 30 mg Capsule 14pcs,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100023189,Rabezole 20 mg Tablet 14pcs,Rabezole 20 mg Tablet 14pcs,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100024077,Normoten 100 mg Tablet 14pcs,Normoten 100 mg Tablet 14pcs,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100024624,Takepron 30 mg Capsule 14pcs,Takepron 30 mg Capsule 14pcs,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100025045,Nexium 40 mg Tablet 14pcs,Nexium 40 mg Tablet 14pcs,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100025379,Aciloc 40 mg Capsule 14pcs,Aciloc 40 mg Capsule 14pcs,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100025504,Tenormin 100 mg Tablet 14pcs,Tenormin 100 mg Tablet 14pcs,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100026988,Gasec 40 mg Capsule 14pcs,Gasec 40 mg Capsule 14pcs,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100965889,Venex XR 75 mg 14 Capsules,Venex XR 75 mg 14 Capsules,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100965897,Venex XR 150 mg 14 Capsules,Venex XR 150 mg 14 Capsules,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101284348,Modexa 30 mg 14 capsules,Modexa 30 mg 14 capsules,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101497773,Lixiana 15 mg 14 Tablets,Lixiana 15 mg 14 Tablets,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101774620,Esoma 40 Mg Capsules 14pcs,Esoma 40 Mg Capsules 14pcs,tablet,14,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100616179,Pantoloc 40mg Tablets 15'S,Pantoloc 40mg Tablets 15'S,tablet,15,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
